Award Name,state,survey_year,dataset_version,record_type,award_program,award_type,award_recipient,award_project,funding_level,award_amount,award_duration,plan_doc_count,plan_corridor_miles,plan_doc_sources,evidence_level,source_notes,source_url
Planning Baseline - No Verified Federal Award,New Jersey,2000,Planning_Analysis_Default,planning_baseline,,,,,,0,,3,8,Long-range transportation plan; TIP/STIP; corridor study,MockPlanningFileBaseline,Combined default: no official SMART/ATCMTD/ATTAIN/SS4A award; mock planning-file evidence only.,
Planning Baseline - No Verified Federal Award,New Jersey,2001,Planning_Analysis_Default,planning_baseline,,,,,,0,,3,8,Long-range transportation plan; TIP/STIP; corridor study,MockPlanningFileBaseline,Combined default: no official SMART/ATCMTD/ATTAIN/SS4A award; mock planning-file evidence only.,
Planning Baseline - No Verified Federal Award,New Jersey,2002,Planning_Analysis_Default,planning_baseline,,,,,,0,,3,9,Long-range transportation plan; TIP/STIP; corridor study,MockPlanningFileBaseline,Combined default: no official SMART/ATCMTD/ATTAIN/SS4A award; mock planning-file evidence only.,
Planning Baseline - No Verified Federal Award,New Jersey,2003,Planning_Analysis_Default,planning_baseline,,,,,,0,,3,9,Long-range transportation plan; TIP/STIP; corridor study,MockPlanningFileBaseline,Combined default: no official SMART/ATCMTD/ATTAIN/SS4A award; mock planning-file evidence only.,
Planning Baseline - No Verified Federal Award,New Jersey,2004,Planning_Analysis_Default,planning_baseline,,,,,,0,,3,10,Long-range transportation plan; TIP/STIP; corridor study,MockPlanningFileBaseline,Combined default: no official SMART/ATCMTD/ATTAIN/SS4A award; mock planning-file evidence only.,
Planning Baseline - No Verified Federal Award,New Jersey,2005,Planning_Analysis_Default,planning_baseline,,,,,,0,,3,10,Long-range transportation plan; TIP/STIP; regional ITS architecture,MockPlanningFileBaseline,Combined default: no official SMART/ATCMTD/ATTAIN/SS4A award; mock planning-file evidence only.,
Planning Baseline - No Verified Federal Award,New Jersey,2006,Planning_Analysis_Default,planning_baseline,,,,,,0,,3,11,Long-range transportation plan; TIP/STIP; regional ITS architecture,MockPlanningFileBaseline,Combined default: no official SMART/ATCMTD/ATTAIN/SS4A award; mock planning-file evidence only.,
Planning Baseline - No Verified Federal Award,New Jersey,2007,Planning_Analysis_Default,planning_baseline,,,,,,0,,3,11,Long-range transportation plan; TIP/STIP; regional ITS architecture,MockPlanningFileBaseline,Combined default: no official SMART/ATCMTD/ATTAIN/SS4A award; mock planning-file evidence only.,
Planning Baseline - No Verified Federal Award,New Jersey,2008,Planning_Analysis_Default,planning_baseline,,,,,,0,,3,12,Long-range transportation plan; TIP/STIP; regional ITS architecture,MockPlanningFileBaseline,Combined default: no official SMART/ATCMTD/ATTAIN/SS4A award; mock planning-file evidence only.,
Planning Baseline - No Verified Federal Award,New Jersey,2009,Planning_Analysis_Default,planning_baseline,,,,,,0,,4,14,MTP; TIP/STIP; regional ITS architecture; corridor study,MockPlanningFileBaseline,Combined default: no official SMART/ATCMTD/ATTAIN/SS4A award; mock planning-file evidence only.,
Planning Baseline - No Verified Federal Award,New Jersey,2010,Planning_Analysis_Default,planning_baseline,,,,,,0,,4,15,MTP; TIP/STIP; regional ITS architecture; corridor study,MockPlanningFileBaseline,Combined default: no official SMART/ATCMTD/ATTAIN/SS4A award; mock planning-file evidence only.,
Planning Baseline - No Verified Federal Award,New Jersey,2011,Planning_Analysis_Default,planning_baseline,,,,,,0,,4,16,MTP; TIP/STIP; regional ITS architecture; corridor study,MockPlanningFileBaseline,Combined default: no official SMART/ATCMTD/ATTAIN/SS4A award; mock planning-file evidence only.,
Planning Baseline - No Verified Federal Award,New Jersey,2012,Planning_Analysis_Default,planning_baseline,,,,,,0,,4,17,MTP; TIP/STIP; regional ITS architecture; corridor study,MockPlanningFileBaseline,Combined default: no official SMART/ATCMTD/ATTAIN/SS4A award; mock planning-file evidence only.,
Planning Baseline - No Verified Federal Award,New Jersey,2013,Planning_Analysis_Default,planning_baseline,,,,,,0,,4,18,MTP; TIP/STIP; regional ITS architecture; corridor study,MockPlanningFileBaseline,Combined default: no official SMART/ATCMTD/ATTAIN/SS4A award; mock planning-file evidence only.,
Planning Baseline - No Verified Federal Award,New Jersey,2014,Planning_Analysis_Default,planning_baseline,,,,,,0,,4,19,MTP; TIP/STIP; regional ITS architecture; corridor study,MockPlanningFileBaseline,Combined default: no official SMART/ATCMTD/ATTAIN/SS4A award; mock planning-file evidence only.,
Planning Baseline - No Verified Federal Award,New Jersey,2015,Planning_Analysis_Default,planning_baseline,,,,,,0,,4,20,MTP; TIP/STIP; regional ITS architecture; freight corridor plan,MockPlanningFileBaseline,Combined default: no official SMART/ATCMTD/ATTAIN/SS4A award; mock planning-file evidence only.,
Planning Baseline - No Verified Federal Award,New Jersey,2016,Planning_Analysis_Default,planning_baseline,,,,,,0,,4,21,MTP; TIP/STIP; regional ITS architecture; freight corridor plan,OfficialNoAwardFound,Official FY2016 ATCMTD list checked; no New Jersey award found. Mock planning-file evidence included.,
Planning Baseline - No Verified Federal Award,New Jersey,2017,Planning_Analysis_Default,planning_baseline,,,,,,0,,4,22,MTP; TIP/STIP; regional ITS architecture; freight corridor plan,OfficialNoAwardFound,Official FY2017 ATCMTD list checked; no New Jersey award found. Mock planning-file evidence included.,
Planning Baseline - No Verified Federal Award,New Jersey,2018,Planning_Analysis_Default,planning_baseline,,,,,,0,,4,23,MTP; TIP/STIP; regional ITS architecture; corridor study,OfficialNoAwardFound,Official FY2018 ATCMTD list checked; no New Jersey award found. Mock planning-file evidence included.,
Planning Baseline - No Verified Federal Award,New Jersey,2019,Planning_Analysis_Default,planning_baseline,,,,,,0,,4,24,MTP; TIP/STIP; regional ITS architecture; corridor study,OfficialNoAwardFound,Official FY2019 ATCMTD list checked; no New Jersey award found. Mock planning-file evidence included.,
Planning Baseline - No Verified Federal Award,New Jersey,2020,Planning_Analysis_Default,planning_baseline,,,,,,0,,5,26,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialNoAwardFound,Official FY2020 ATCMTD list checked; no New Jersey award found. Mock planning-file evidence included.,
Smart and Connected Atlantic City Expressway,New Jersey,2021,Planning_Analysis_Default,award,ATCMTD,Deployment,South Jersey Transportation Authority,Smart and Connected Atlantic City Expressway,Federal,8748763,Multi-year deployment award,5,28,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official ATCMTD award source.,https://ops.fhwa.dot.gov/fastact/atcmtd/2021/awards/index.htm
SMART RIGHT NOW,New Jersey,2022,Planning_Analysis_Default,award,SMART,Demonstration,New Jersey Department of Transportation,SMART RIGHT NOW,Federal,2000000,1 year planning/demo award,5,30,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SMART award source.,https://www.transportation.gov/sites/dot.gov/files/2023-03/FY22%20SMART%20Project%20List.pdf
Atlantic City Complete Streets Plan,New Jersey,2022,Planning_Analysis_Default,award,SS4A,Planning/Demonstration,City of Atlantic City,Atlantic City Complete Streets Plan,Federal,400000,1 year planning/demo award,5,30,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SS4A award source.,https://www.transportation.gov/grants/ss4a/2022-full-award-list; https://thelcpc.org/wp-content/uploads/2023/02/SS4A-2022-Implementation-Grant-Award-Fact-Sheets.pdf
Chestnut Avenue Safety Improvements and Rehabilitation,New Jersey,2022,Planning_Analysis_Default,award,SS4A,Implementation,City of Vineland,Chestnut Avenue Safety Improvements and Rehabilitation,Federal,20000000,Multi-year implementation award,5,30,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SS4A award source.,https://www.transportation.gov/grants/ss4a/2022-full-award-list; https://thelcpc.org/wp-content/uploads/2023/02/SS4A-2022-Implementation-Grant-Award-Fact-Sheets.pdf
City of Vineland Safe Streets and Roads for All Action Plan,New Jersey,2022,Planning_Analysis_Default,award,SS4A,Planning/Demonstration,City of Vineland,City of Vineland Safe Streets and Roads for All Action Plan,Federal,296553.44,1 year planning/demo award,5,30,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SS4A award source.,https://www.transportation.gov/grants/ss4a/2022-full-award-list; https://thelcpc.org/wp-content/uploads/2023/02/SS4A-2022-Implementation-Grant-Award-Fact-Sheets.pdf
County-Wide Safety Action Plan,New Jersey,2022,Planning_Analysis_Default,award,SS4A,Planning/Demonstration,Hudson County,County-Wide Safety Action Plan,Federal,1000000,1 year planning/demo award,5,30,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SS4A award source.,https://www.transportation.gov/grants/ss4a/2022-full-award-list; https://thelcpc.org/wp-content/uploads/2023/02/SS4A-2022-Implementation-Grant-Award-Fact-Sheets.pdf
Hoboken Safe Streets for All Action Plan,New Jersey,2022,Planning_Analysis_Default,award,SS4A,Planning/Demonstration,City of Hoboken,Hoboken Safe Streets for All Action Plan,Federal,400000,1 year planning/demo award,5,30,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SS4A award source.,https://www.transportation.gov/grants/ss4a/2022-full-award-list; https://thelcpc.org/wp-content/uploads/2023/02/SS4A-2022-Implementation-Grant-Award-Fact-Sheets.pdf
Long Branch Safe Streets for All Action Plan,New Jersey,2022,Planning_Analysis_Default,award,SS4A,Planning/Demonstration,City of Long Branch,Long Branch Safe Streets for All Action Plan,Federal,196000,1 year planning/demo award,5,30,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SS4A award source.,https://www.transportation.gov/grants/ss4a/2022-full-award-list; https://thelcpc.org/wp-content/uploads/2023/02/SS4A-2022-Implementation-Grant-Award-Fact-Sheets.pdf
