state,survey_year,dataset_version,plan_award_count,plan_award_programs,plan_award_funding,smart_award_count,atcmtd_award_count,attain_award_count,ss4a_award_count,award_recipients,award_projects,evidence_level,source_notes,source_urls
New Jersey,2000,planning_awards_official_v1,0,,0,0,0,0,0,,,OfficialProgramNotActive,"No listed SMART, ATCMTD, ATTAIN, or SS4A program award was active for this model year.",""
New Jersey,2001,planning_awards_official_v1,0,,0,0,0,0,0,,,OfficialProgramNotActive,"No listed SMART, ATCMTD, ATTAIN, or SS4A program award was active for this model year.",""
New Jersey,2002,planning_awards_official_v1,0,,0,0,0,0,0,,,OfficialProgramNotActive,"No listed SMART, ATCMTD, ATTAIN, or SS4A program award was active for this model year.",""
New Jersey,2003,planning_awards_official_v1,0,,0,0,0,0,0,,,OfficialProgramNotActive,"No listed SMART, ATCMTD, ATTAIN, or SS4A program award was active for this model year.",""
New Jersey,2004,planning_awards_official_v1,0,,0,0,0,0,0,,,OfficialProgramNotActive,"No listed SMART, ATCMTD, ATTAIN, or SS4A program award was active for this model year.",""
New Jersey,2005,planning_awards_official_v1,0,,0,0,0,0,0,,,OfficialProgramNotActive,"No listed SMART, ATCMTD, ATTAIN, or SS4A program award was active for this model year.",""
New Jersey,2006,planning_awards_official_v1,0,,0,0,0,0,0,,,OfficialProgramNotActive,"No listed SMART, ATCMTD, ATTAIN, or SS4A program award was active for this model year.",""
New Jersey,2007,planning_awards_official_v1,0,,0,0,0,0,0,,,OfficialProgramNotActive,"No listed SMART, ATCMTD, ATTAIN, or SS4A program award was active for this model year.",""
New Jersey,2008,planning_awards_official_v1,0,,0,0,0,0,0,,,OfficialProgramNotActive,"No listed SMART, ATCMTD, ATTAIN, or SS4A program award was active for this model year.",""
New Jersey,2009,planning_awards_official_v1,0,,0,0,0,0,0,,,OfficialProgramNotActive,"No listed SMART, ATCMTD, ATTAIN, or SS4A program award was active for this model year.",""
New Jersey,2010,planning_awards_official_v1,0,,0,0,0,0,0,,,OfficialProgramNotActive,"No listed SMART, ATCMTD, ATTAIN, or SS4A program award was active for this model year.",""
New Jersey,2011,planning_awards_official_v1,0,,0,0,0,0,0,,,OfficialProgramNotActive,"No listed SMART, ATCMTD, ATTAIN, or SS4A program award was active for this model year.",""
New Jersey,2012,planning_awards_official_v1,0,,0,0,0,0,0,,,OfficialProgramNotActive,"No listed SMART, ATCMTD, ATTAIN, or SS4A program award was active for this model year.",""
New Jersey,2013,planning_awards_official_v1,0,,0,0,0,0,0,,,OfficialProgramNotActive,"No listed SMART, ATCMTD, ATTAIN, or SS4A program award was active for this model year.",""
New Jersey,2014,planning_awards_official_v1,0,,0,0,0,0,0,,,OfficialProgramNotActive,"No listed SMART, ATCMTD, ATTAIN, or SS4A program award was active for this model year.",""
New Jersey,2015,planning_awards_official_v1,0,,0,0,0,0,0,,,OfficialProgramNotActive,"No listed SMART, ATCMTD, ATTAIN, or SS4A program award was active for this model year.",""
New Jersey,2016,planning_awards_official_v1,0,,0,0,0,0,0,,,OfficialNoAwardFound,"ATCMTD began in FY2016; no New Jersey award found in the official FHWA FY2016 ATCMTD award list.","https://ops.fhwa.dot.gov/fastact/atcmtd/fy16awards/index.htm"
New Jersey,2017,planning_awards_official_v1,0,,0,0,0,0,0,,,OfficialNoAwardFound,"No New Jersey award found in the official FHWA FY2017 ATCMTD award list.","https://ops.fhwa.dot.gov/fastact/atcmtd/2017/awards/index.htm"
New Jersey,2018,planning_awards_official_v1,0,,0,0,0,0,0,,,OfficialNoAwardFound,"No New Jersey award found in the official FHWA FY2018 ATCMTD award list.","https://ops.fhwa.dot.gov/fastact/atcmtd/2018/awards/index.htm"
New Jersey,2019,planning_awards_official_v1,0,,0,0,0,0,0,,,OfficialNoAwardFound,"No New Jersey award found in the official FHWA FY2019 ATCMTD award list.","https://ops.fhwa.dot.gov/fastact/atcmtd/2019/awards/index.htm"
New Jersey,2020,planning_awards_official_v1,0,,0,0,0,0,0,,,OfficialNoAwardFound,"No New Jersey award found in the official FHWA FY2020 ATCMTD award list.","https://ops.fhwa.dot.gov/fastact/atcmtd/2020/awards/index.htm"
New Jersey,2021,planning_awards_official_v1,1,ATCMTD,8748763,0,1,0,0,South Jersey Transportation Authority,Smart and Connected Atlantic City Expressway,OfficialAwardVerified,"FHWA FY2021 ATCMTD award to South Jersey Transportation Authority for the Smart and Connected Atlantic City Expressway.","https://ops.fhwa.dot.gov/fastact/atcmtd/2021/awards/index.htm"
