state,survey_year,dataset_version,plan_award_count,plan_award_programs,plan_award_funding,plan_doc_count,plan_corridor_miles,plan_doc_sources,evidence_level,source_notes
New Jersey,2000,planning_defaults_revised_v2,0,,0,3,8,"Long-range transportation plan; TIP/STIP; corridor study",MockPlanningFileBaseline,"Combined default: no official SMART/ATCMTD/ATTAIN/SS4A award; mock planning-file evidence only."
New Jersey,2001,planning_defaults_revised_v2,0,,0,3,8,"Long-range transportation plan; TIP/STIP; corridor study",MockPlanningFileBaseline,"Combined default: no official SMART/ATCMTD/ATTAIN/SS4A award; mock planning-file evidence only."
New Jersey,2002,planning_defaults_revised_v2,0,,0,3,9,"Long-range transportation plan; TIP/STIP; corridor study",MockPlanningFileBaseline,"Combined default: no official SMART/ATCMTD/ATTAIN/SS4A award; mock planning-file evidence only."
New Jersey,2003,planning_defaults_revised_v2,0,,0,3,9,"Long-range transportation plan; TIP/STIP; corridor study",MockPlanningFileBaseline,"Combined default: no official SMART/ATCMTD/ATTAIN/SS4A award; mock planning-file evidence only."
New Jersey,2004,planning_defaults_revised_v2,0,,0,3,10,"Long-range transportation plan; TIP/STIP; corridor study",MockPlanningFileBaseline,"Combined default: no official SMART/ATCMTD/ATTAIN/SS4A award; mock planning-file evidence only."
New Jersey,2005,planning_defaults_revised_v2,0,,0,3,10,"Long-range transportation plan; TIP/STIP; regional ITS architecture",MockPlanningFileBaseline,"Combined default: no official SMART/ATCMTD/ATTAIN/SS4A award; mock planning-file evidence only."
New Jersey,2006,planning_defaults_revised_v2,0,,0,3,11,"Long-range transportation plan; TIP/STIP; regional ITS architecture",MockPlanningFileBaseline,"Combined default: no official SMART/ATCMTD/ATTAIN/SS4A award; mock planning-file evidence only."
New Jersey,2007,planning_defaults_revised_v2,0,,0,3,11,"Long-range transportation plan; TIP/STIP; regional ITS architecture",MockPlanningFileBaseline,"Combined default: no official SMART/ATCMTD/ATTAIN/SS4A award; mock planning-file evidence only."
New Jersey,2008,planning_defaults_revised_v2,0,,0,3,12,"Long-range transportation plan; TIP/STIP; regional ITS architecture",MockPlanningFileBaseline,"Combined default: no official SMART/ATCMTD/ATTAIN/SS4A award; mock planning-file evidence only."
New Jersey,2009,planning_defaults_revised_v2,0,,0,4,14,"MTP; TIP/STIP; regional ITS architecture; corridor study",MockPlanningFileBaseline,"Combined default: no official SMART/ATCMTD/ATTAIN/SS4A award; mock planning-file evidence only."
New Jersey,2010,planning_defaults_revised_v2,0,,0,4,15,"MTP; TIP/STIP; regional ITS architecture; corridor study",MockPlanningFileBaseline,"Combined default: no official SMART/ATCMTD/ATTAIN/SS4A award; mock planning-file evidence only."
New Jersey,2011,planning_defaults_revised_v2,0,,0,4,16,"MTP; TIP/STIP; regional ITS architecture; corridor study",MockPlanningFileBaseline,"Combined default: no official SMART/ATCMTD/ATTAIN/SS4A award; mock planning-file evidence only."
New Jersey,2012,planning_defaults_revised_v2,0,,0,4,17,"MTP; TIP/STIP; regional ITS architecture; corridor study",MockPlanningFileBaseline,"Combined default: no official SMART/ATCMTD/ATTAIN/SS4A award; mock planning-file evidence only."
New Jersey,2013,planning_defaults_revised_v2,0,,0,4,18,"MTP; TIP/STIP; regional ITS architecture; corridor study",MockPlanningFileBaseline,"Combined default: no official SMART/ATCMTD/ATTAIN/SS4A award; mock planning-file evidence only."
New Jersey,2014,planning_defaults_revised_v2,0,,0,4,19,"MTP; TIP/STIP; regional ITS architecture; corridor study",MockPlanningFileBaseline,"Combined default: no official SMART/ATCMTD/ATTAIN/SS4A award; mock planning-file evidence only."
New Jersey,2015,planning_defaults_revised_v2,0,,0,4,20,"MTP; TIP/STIP; regional ITS architecture; freight corridor plan",MockPlanningFileBaseline,"Combined default: no official SMART/ATCMTD/ATTAIN/SS4A award; mock planning-file evidence only."
New Jersey,2016,planning_defaults_revised_v2,0,,0,4,21,"MTP; TIP/STIP; regional ITS architecture; freight corridor plan",OfficialNoAwardFound,"Official FY2016 ATCMTD list checked; no New Jersey award found. Mock planning-file evidence included."
New Jersey,2017,planning_defaults_revised_v2,0,,0,4,22,"MTP; TIP/STIP; regional ITS architecture; freight corridor plan",OfficialNoAwardFound,"Official FY2017 ATCMTD list checked; no New Jersey award found. Mock planning-file evidence included."
New Jersey,2018,planning_defaults_revised_v2,0,,0,4,23,"MTP; TIP/STIP; regional ITS architecture; corridor study",OfficialNoAwardFound,"Official FY2018 ATCMTD list checked; no New Jersey award found. Mock planning-file evidence included."
