state,survey_year,dataset_version,plan_doc_count,plan_corridor_miles,plan_doc_sources,evidence_level,source_notes
New Jersey,2000,planning_files_mock_v1,3,8,"Long-range transportation plan; TIP/STIP; corridor study",MockPlanningFileBaseline,"Mock non-award planning evidence only; upload with the official awards CSV or use the combined defaults file."
New Jersey,2001,planning_files_mock_v1,3,8,"Long-range transportation plan; TIP/STIP; corridor study",MockPlanningFileBaseline,"Mock non-award planning evidence only; upload with the official awards CSV or use the combined defaults file."
New Jersey,2002,planning_files_mock_v1,3,9,"Long-range transportation plan; TIP/STIP; corridor study",MockPlanningFileBaseline,"Mock non-award planning evidence only; upload with the official awards CSV or use the combined defaults file."
New Jersey,2003,planning_files_mock_v1,3,9,"Long-range transportation plan; TIP/STIP; corridor study",MockPlanningFileBaseline,"Mock non-award planning evidence only; upload with the official awards CSV or use the combined defaults file."
New Jersey,2004,planning_files_mock_v1,3,10,"Long-range transportation plan; TIP/STIP; corridor study",MockPlanningFileBaseline,"Mock non-award planning evidence only; upload with the official awards CSV or use the combined defaults file."
New Jersey,2005,planning_files_mock_v1,3,10,"Long-range transportation plan; TIP/STIP; regional ITS architecture",MockPlanningFileBaseline,"Mock non-award planning evidence only; upload with the official awards CSV or use the combined defaults file."
New Jersey,2006,planning_files_mock_v1,3,11,"Long-range transportation plan; TIP/STIP; regional ITS architecture",MockPlanningFileBaseline,"Mock non-award planning evidence only; upload with the official awards CSV or use the combined defaults file."
New Jersey,2007,planning_files_mock_v1,3,11,"Long-range transportation plan; TIP/STIP; regional ITS architecture",MockPlanningFileBaseline,"Mock non-award planning evidence only; upload with the official awards CSV or use the combined defaults file."
New Jersey,2008,planning_files_mock_v1,3,12,"Long-range transportation plan; TIP/STIP; regional ITS architecture",MockPlanningFileBaseline,"Mock non-award planning evidence only; upload with the official awards CSV or use the combined defaults file."
New Jersey,2009,planning_files_mock_v1,4,14,"MTP; TIP/STIP; regional ITS architecture; corridor study",MockPlanningFileBaseline,"Mock non-award planning evidence only; upload with the official awards CSV or use the combined defaults file."
New Jersey,2010,planning_files_mock_v1,4,15,"MTP; TIP/STIP; regional ITS architecture; corridor study",MockPlanningFileBaseline,"Mock non-award planning evidence only; upload with the official awards CSV or use the combined defaults file."
New Jersey,2011,planning_files_mock_v1,4,16,"MTP; TIP/STIP; regional ITS architecture; corridor study",MockPlanningFileBaseline,"Mock non-award planning evidence only; upload with the official awards CSV or use the combined defaults file."
New Jersey,2012,planning_files_mock_v1,4,17,"MTP; TIP/STIP; regional ITS architecture; corridor study",MockPlanningFileBaseline,"Mock non-award planning evidence only; upload with the official awards CSV or use the combined defaults file."
New Jersey,2013,planning_files_mock_v1,4,18,"MTP; TIP/STIP; regional ITS architecture; corridor study",MockPlanningFileBaseline,"Mock non-award planning evidence only; upload with the official awards CSV or use the combined defaults file."
New Jersey,2014,planning_files_mock_v1,4,19,"MTP; TIP/STIP; regional ITS architecture; corridor study",MockPlanningFileBaseline,"Mock non-award planning evidence only; upload with the official awards CSV or use the combined defaults file."
New Jersey,2015,planning_files_mock_v1,4,20,"MTP; TIP/STIP; regional ITS architecture; freight corridor plan",MockPlanningFileBaseline,"Mock non-award planning evidence only; upload with the official awards CSV or use the combined defaults file."
New Jersey,2016,planning_files_mock_v1,4,21,"MTP; TIP/STIP; regional ITS architecture; freight corridor plan",MockPlanningFileBaseline,"Mock non-award planning evidence only; upload with the official awards CSV or use the combined defaults file."
New Jersey,2017,planning_files_mock_v1,4,22,"MTP; TIP/STIP; regional ITS architecture; freight corridor plan",MockPlanningFileBaseline,"Mock non-award planning evidence only; upload with the official awards CSV or use the combined defaults file."
New Jersey,2018,planning_files_mock_v1,4,23,"MTP; TIP/STIP; regional ITS architecture; corridor study",MockPlanningFileBaseline,"Mock non-award planning evidence only; upload with the official awards CSV or use the combined defaults file."
New Jersey,2019,planning_files_mock_v1,4,24,"MTP; TIP/STIP; regional ITS architecture; corridor study",MockPlanningFileBaseline,"Mock non-award planning evidence only; upload with the official awards CSV or use the combined defaults file."
New Jersey,2020,planning_files_mock_v1,5,26,"MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program",MockPlanningFileBaseline,"Mock non-award planning evidence only; upload with the official awards CSV or use the combined defaults file."
New Jersey,2021,planning_files_mock_v1,5,28,"MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program",MockPlanningFileBaseline,"Mock non-award planning evidence only; upload with the official awards CSV or use the combined defaults file."
New Jersey,2022,planning_files_mock_v1,5,30,"MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program",MockPlanningFileBaseline,"Mock non-award planning evidence only; upload with the official awards CSV or use the combined defaults file."
New Jersey,2023,planning_files_mock_v1,5,32,"MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program",MockPlanningFileBaseline,"Mock non-award planning evidence only; upload with the official awards CSV or use the combined defaults file."
Texas,2000,planning_files_mock_v1,3,12,"Long-range transportation plan; TIP/STIP; corridor study",MockPlanningFileBaseline,"Mock non-award planning evidence only; upload with the official awards CSV or use the combined defaults file."
Texas,2001,planning_files_mock_v1,3,12,"Long-range transportation plan; TIP/STIP; corridor study",MockPlanningFileBaseline,"Mock non-award planning evidence only; upload with the official awards CSV or use the combined defaults file."
Texas,2002,planning_files_mock_v1,3,13,"Long-range transportation plan; TIP/STIP; corridor study",MockPlanningFileBaseline,"Mock non-award planning evidence only; upload with the official awards CSV or use the combined defaults file."
Texas,2003,planning_files_mock_v1,3,13,"Long-range transportation plan; TIP/STIP; corridor study",MockPlanningFileBaseline,"Mock non-award planning evidence only; upload with the official awards CSV or use the combined defaults file."
Texas,2004,planning_files_mock_v1,3,14,"Long-range transportation plan; TIP/STIP; corridor study",MockPlanningFileBaseline,"Mock non-award planning evidence only; upload with the official awards CSV or use the combined defaults file."
Texas,2005,planning_files_mock_v1,3,15,"Long-range transportation plan; TIP/STIP; regional ITS architecture",MockPlanningFileBaseline,"Mock non-award planning evidence only; upload with the official awards CSV or use the combined defaults file."
Texas,2006,planning_files_mock_v1,3,16,"Long-range transportation plan; TIP/STIP; regional ITS architecture",MockPlanningFileBaseline,"Mock non-award planning evidence only; upload with the official awards CSV or use the combined defaults file."
Texas,2007,planning_files_mock_v1,3,17,"Long-range transportation plan; TIP/STIP; regional ITS architecture",MockPlanningFileBaseline,"Mock non-award planning evidence only; upload with the official awards CSV or use the combined defaults file."
Texas,2008,planning_files_mock_v1,3,18,"Long-range transportation plan; TIP/STIP; regional ITS architecture",MockPlanningFileBaseline,"Mock non-award planning evidence only; upload with the official awards CSV or use the combined defaults file."
Texas,2009,planning_files_mock_v1,4,20,"MTP; TIP/STIP; regional ITS architecture; corridor study",MockPlanningFileBaseline,"Mock non-award planning evidence only; upload with the official awards CSV or use the combined defaults file."
Texas,2010,planning_files_mock_v1,4,21,"MTP; TIP/STIP; regional ITS architecture; corridor study",MockPlanningFileBaseline,"Mock non-award planning evidence only; upload with the official awards CSV or use the combined defaults file."
Texas,2011,planning_files_mock_v1,4,22,"MTP; TIP/STIP; regional ITS architecture; corridor study",MockPlanningFileBaseline,"Mock non-award planning evidence only; upload with the official awards CSV or use the combined defaults file."
Texas,2012,planning_files_mock_v1,4,23,"MTP; TIP/STIP; regional ITS architecture; corridor study",MockPlanningFileBaseline,"Mock non-award planning evidence only; upload with the official awards CSV or use the combined defaults file."
Texas,2013,planning_files_mock_v1,4,24,"MTP; TIP/STIP; regional ITS architecture; corridor study",MockPlanningFileBaseline,"Mock non-award planning evidence only; upload with the official awards CSV or use the combined defaults file."
Texas,2014,planning_files_mock_v1,4,25,"MTP; TIP/STIP; regional ITS architecture; corridor study",MockPlanningFileBaseline,"Mock non-award planning evidence only; upload with the official awards CSV or use the combined defaults file."
Texas,2015,planning_files_mock_v1,4,26,"MTP; TIP/STIP; regional ITS architecture; freight corridor plan",MockPlanningFileBaseline,"Mock non-award planning evidence only; upload with the official awards CSV or use the combined defaults file."
Texas,2016,planning_files_mock_v1,5,28,"MTP; TIP/STIP; regional ITS architecture; freight corridor plan; connected freight plan",MockPlanningFileBaseline,"Mock non-award planning evidence only; upload with the official awards CSV or use the combined defaults file."
Texas,2017,planning_files_mock_v1,5,30,"MTP; TIP/STIP; regional ITS architecture; freight corridor plan; connected freight plan",MockPlanningFileBaseline,"Mock non-award planning evidence only; upload with the official awards CSV or use the combined defaults file."
Texas,2018,planning_files_mock_v1,5,32,"MTP; TIP/STIP; regional ITS architecture; freight corridor plan; connected freight plan",MockPlanningFileBaseline,"Mock non-award planning evidence only; upload with the official awards CSV or use the combined defaults file."
